dataset,variant,selector,best_accuracy,mean_accuracy,mean_balanced_accuracy,mean_joint_mi,min_joint_mi,mean_attacker_ba,min_attacker_ba,mean_dpd,mean_eod,mean_eodds
german_credit,original,SubsetFACMIM_lambda2.0,0.6866666666666666,0.6788888888888889,0.5621693121693122,0.3712219717302876,0.3712219717302876,0.5122642917558088,0.5122642917558088,0.052788695955022634,0.06839826839826839,0.07222222222222223
german_credit,original,SubsetFACMIM_lambda1.0,0.7133333333333334,0.7022222222222222,0.6010582010582011,0.41676326684857123,0.41676326684857123,0.5982635952037415,0.5982635952037415,0.03671824468879048,0.05367965367965368,0.06433982683982684
german_credit,original,SubsetFACMIM_lambda0.5,0.76,0.7366666666666667,0.6447089947089947,0.5248543772896959,0.5248543772896959,0.5,0.5,0.029271771398245345,0.06580086580086579,0.07490981240981238
german_credit,original,FairCFS_lambda1.0,0.75,0.7377777777777778,0.6550264550264551,0.7036462330579738,0.7036462330579738,0.49741280660729387,0.4974128066072939,0.03247259399306764,0.08051948051948049,0.08051948051948049
german_credit,original,FairCFS_lambda0.5,0.75,0.7344444444444443,0.6515873015873016,0.7036462330579747,0.7036462330579747,0.49741280660729387,0.4974128066072939,0.025822180207970558,0.08658008658008655,0.08658008658008655
german_credit,original,FairmRMR_lambda0.5,0.75,0.7388888888888889,0.6558201058201059,0.7036462330579747,0.7036462330579747,0.49741280660729387,0.4974128066072939,0.024196892051014152,0.08051948051948049,0.08051948051948049
german_credit,original,FairmRMR_lambda2.0,0.75,0.7444444444444445,0.6619047619047619,0.7036462330579747,0.7036462330579747,0.49741280660729387,0.4974128066072939,0.030847305836111255,0.09956709956709953,0.09956709956709953
german_credit,original,ProxyRank_lambda1.0,0.75,0.7422222222222222,0.6592592592592593,0.7036462330579747,0.7036462330579747,0.49741280660729387,0.4974128066072939,0.025871933927061053,0.07445887445887443,0.07445887445887443
german_credit,original,ProxyRank_lambda2.0,0.75,0.741111111111111,0.6605820105820106,0.7036462330579747,0.7036462330579747,0.49741280660729387,0.4974128066072939,0.03242284027397715,0.09350649350649347,0.09350649350649347
german_credit,original,FairCFS_lambda2.0,0.75,0.741111111111111,0.6605820105820106,0.7036462330579756,0.7036462330579756,0.49741280660729387,0.4974128066072939,0.03242284027397715,0.09350649350649347,0.09350649350649347
german_credit,remove_entangled_proxies,SubsetFACMIM_lambda2.0,0.6866666666666666,0.6788888888888889,0.5621693121693122,0.3712219717302876,0.3712219717302876,0.5122642917558088,0.5122642917558088,0.052788695955022634,0.06839826839826839,0.07222222222222223
german_credit,remove_entangled_proxies,SubsetFACMIM_lambda1.0,0.7133333333333334,0.7022222222222222,0.6010582010582011,0.41676326684857123,0.41676326684857123,0.5982635952037415,0.5982635952037415,0.03671824468879048,0.05367965367965368,0.06433982683982684
german_credit,remove_entangled_proxies,SubsetFACMIM_lambda0.5,0.76,0.7366666666666667,0.6447089947089947,0.5248543772896959,0.5248543772896959,0.5,0.5,0.029271771398245345,0.06580086580086579,0.07490981240981238
german_credit,remove_entangled_proxies,FairLasso_lambda0.0,0.75,0.7366666666666667,0.6468253968253969,0.6819587749690541,0.6819587749690541,0.5711478182994179,0.5711478182994179,0.06144584307677,0.020779220779220748,0.065007215007215
german_credit,remove_entangled_proxies,FairLasso_lambda0.5,0.75,0.7366666666666667,0.6468253968253969,0.6819587749690541,0.6819587749690541,0.5711478182994179,0.5711478182994179,0.06144584307677,0.020779220779220748,0.065007215007215
german_credit,remove_entangled_proxies,FairLasso_lambda1.0,0.75,0.7366666666666667,0.6468253968253969,0.6819587749690541,0.6819587749690541,0.5711478182994179,0.5711478182994179,0.06144584307677,0.020779220779220748,0.065007215007215
german_credit,remove_entangled_proxies,FairLasso_lambda2.0,0.75,0.7366666666666667,0.6468253968253969,0.6819587749690541,0.6819587749690541,0.5711478182994179,0.5711478182994179,0.06144584307677,0.020779220779220748,0.065007215007215
german_credit,remove_entangled_proxies,FairmRMR_lambda0.0,0.7566666666666667,0.7400000000000001,0.6534391534391535,0.6893142450235441,0.6893142450235441,0.5786108761629931,0.5786108761629931,0.03353400666699836,0.06406926406926405,0.0739057239057239
german_credit,remove_entangled_proxies,mRMR,0.7566666666666667,0.7400000000000001,0.6534391534391535,0.6893142450235441,0.6893142450235441,0.5786108761629931,0.5786108761629931,0.03353400666699836,0.06406926406926405,0.0739057239057239
german_credit,remove_entangled_proxies,FairCFS_lambda1.0,0.75,0.7377777777777778,0.6550264550264551,0.7036462330579738,0.7036462330579738,0.49741280660729387,0.4974128066072939,0.03247259399306764,0.08051948051948049,0.08051948051948049
