candidate,selected,selection_rank,marginal_relevance,redundancy,redundancy_weight,proxy_leakage,fairness_penalty,score,runtime_elapsed_seconds
education,True,1.0,0.09464683944776187,0.0,1.0,0.002735344062730516,0.0,0.09464683944776187,0.27095675468444824
occupation,False,,0.09051034018267161,0.0,1.0,0.05266450114491961,0.0,0.09051034018267161,0.27095675468444824
hours-per-week,False,,0.07607893757060051,0.0,1.0,0.017887781789631838,0.0,0.07607893757060051,0.27095675468444824
relationship,False,,0.07024497057410069,0.0,1.0,0.00014266589340278246,0.0,0.07024497057410069,0.27095675468444824
age,False,,0.06017394137366793,0.0,1.0,0.0008875465543859984,0.0,0.06017394137366793,0.27095675468444824
marital-status,False,,0.04100462100626891,0.0,1.0,0.004559479765719618,0.0,0.04100462100626891,0.27095675468444824
birthplace,False,,0.02471550477545613,0.0,1.0,0.0021020496733772376,0.0,0.02471550477545613,0.27095675468444824
class-worker,False,,0.0009288498838900539,0.0,1.0,5.118869521447689e-05,0.0,0.0009288498838900539,0.27095675468444824
hours-per-week,True,2.0,0.07607893757060051,0.018561851197902955,1.0,0.017887781789631838,0.0,0.057517086372697555,0.3576223850250244
relationship,False,,0.07024497057410069,0.02640307805884009,1.0,0.00014266589340278246,0.0,0.0438418925152606,0.3576223850250244
age,False,,0.06017394137366793,0.021228664129903884,1.0,0.0008875465543859984,0.0,0.03894527724376405,0.3576223850250244
marital-status,False,,0.04100462100626891,0.017160008191550856,1.0,0.004559479765719618,0.0,0.02384461281471805,0.3576223850250244
class-worker,False,,0.0009288498838900539,0.004053025898097112,1.0,5.118869521447689e-05,0.0,-0.0031241760142070585,0.3576223850250244
birthplace,False,,0.02471550477545613,0.0722940432200117,1.0,0.0021020496733772376,0.0,-0.047578538444555576,0.3576223850250244
occupation,False,,0.09051034018267161,0.19357083833452451,1.0,0.05266450114491961,0.0,-0.1030604981518529,0.3576223850250244
relationship,True,3.0,0.07024497057410069,0.028752455505903784,1.0,0.00014266589340278246,0.0,0.0414925150681969,0.5026907920837402
age,False,,0.06017394137366793,0.030736052918800383,1.0,0.0008875465543859984,0.0,0.02943788845486755,0.5026907920837402
marital-status,False,,0.04100462100626891,0.01891553347809434,1.0,0.004559479765719618,0.0,0.022089087528174567,0.5026907920837402
class-worker,False,,0.0009288498838900539,0.007283595080630315,1.0,5.118869521447689e-05,0.0,-0.006354745196740261,0.5026907920837402
birthplace,False,,0.02471550477545613,0.03964568954995862,1.0,0.0021020496733772376,0.0,-0.014930184774502489,0.5026907920837402
occupation,False,,0.09051034018267161,0.11270380188148597,1.0,0.05266450114491961,0.0,-0.022193461698814365,0.5026907920837402
occupation,True,4.0,0.09051034018267161,0.08168026203492508,1.0,0.05266450114491961,0.0,0.008830078147746528,0.6836040019989014
class-worker,False,,0.0009288498838900539,0.007715761006310898,1.0,5.118869521447689e-05,0.0,-0.006786911122420844,0.6836040019989014
age,False,,0.06017394137366793,0.07153858714550988,1.0,0.0008875465543859984,0.0,-0.011364645771841951,0.6836040019989014
birthplace,False,,0.02471550477545613,0.03750703634646549,1.0,0.0021020496733772376,0.0,-0.01279153157100936,0.6836040019989014
marital-status,False,,0.04100462100626891,0.07480243848227157,1.0,0.004559479765719618,0.0,-0.03379781747600266,0.6836040019989014
age,True,5.0,0.06017394137366793,0.05782391139398396,1.0,0.0008875465543859984,0.0,0.0023500299796839694,0.8737261295318604
class-worker,False,,0.0009288498838900539,0.006676432893527127,1.0,5.118869521447689e-05,0.0,-0.005747583009637073,0.8737261295318604
birthplace,False,,0.02471550477545613,0.03859992451290173,1.0,0.0021020496733772376,0.0,-0.0138844197374456,0.8737261295318604
marital-status,False,,0.04100462100626891,0.05946471430565762,1.0,0.004559479765719618,0.0,-0.018460093299388712,0.8737261295318604
