dataset,variant,selector,best_accuracy,mean_accuracy,mean_balanced_accuracy,mean_joint_mi,min_joint_mi,mean_attacker_ba,min_attacker_ba,mean_dpd,mean_eod,mean_eodds
german_credit,original,BasicFACMIM_lambda0.0,0.7633333333333333,0.741111111111111,0.65,0.8882598263421588,0.8882598263421588,0.5265933628538733,0.5265933628538733,0.04326915103570659,0.0225108225108225,0.057112794612794594
german_credit,original,BasicFACMIM_lambda0.5,0.7766666666666666,0.7622222222222222,0.6671957671957672,0.9015931596754889,0.9015931596754889,0.49726354545002244,0.4972635454500224,0.028956664510672164,0.0398268398268398,0.0398268398268398
german_credit,original,BasicFACMIM_lambda1.0,0.77,0.75,0.6626984126984127,0.8632272429943981,0.8632272429943981,0.49726354545002244,0.4972635454500224,0.02661823971341859,0.04155844155844155,0.04155844155844155
german_credit,original,BasicFACMIM_lambda2.0,0.75,0.7399999999999999,0.6587301587301587,0.7036462330579765,0.7036462330579765,0.49741280660729387,0.4974128066072939,0.029122510240973842,0.08398268398268394,0.08398268398268394
german_credit,original,CMIM,0.7633333333333333,0.741111111111111,0.65,0.8882598263421588,0.8882598263421588,0.5265933628538733,0.5265933628538733,0.04326915103570659,0.0225108225108225,0.057112794612794594
german_credit,original,FairCFS_lambda0.0,0.76,0.7266666666666666,0.6417989417989418,0.837861774746278,0.837861774746278,0.5363450917956117,0.5363450917956117,0.049621042506260676,0.03116883116883114,0.05848364598364598
german_credit,original,FairCFS_lambda0.5,0.75,0.7344444444444443,0.6515873015873016,0.7036462330579747,0.7036462330579747,0.49741280660729387,0.4974128066072939,0.025822180207970558,0.08658008658008655,0.08658008658008655
german_credit,original,FairCFS_lambda1.0,0.75,0.7377777777777778,0.6550264550264551,0.7036462330579738,0.7036462330579738,0.49741280660729387,0.4974128066072939,0.03247259399306764,0.08051948051948049,0.08051948051948049
german_credit,original,FairCFS_lambda2.0,0.75,0.741111111111111,0.6605820105820106,0.7036462330579756,0.7036462330579756,0.49741280660729387,0.4974128066072939,0.03242284027397715,0.09350649350649347,0.09350649350649347
german_credit,original,FairLasso_lambda0.0,0.7366666666666667,0.7155555555555555,0.617989417989418,0.8403780664201559,0.8403780664201559,0.5586596348077019,0.5586596348077019,0.0731711362090983,0.05454545454545453,0.08216690716690715
german_credit,original,FairLasso_lambda0.5,0.7366666666666667,0.7155555555555555,0.617989417989418,0.8403780664201559,0.8403780664201559,0.5586596348077019,0.5586596348077019,0.0731711362090983,0.05454545454545453,0.08216690716690715
