dataset,selector,mean_accuracy_original,mean_accuracy_removed,accuracy_change_after_proxy_removal,mean_joint_mi_original,mean_joint_mi_removed,joint_mi_drop_after_proxy_removal,mean_attacker_ba_original,mean_attacker_ba_removed,attacker_ba_drop_after_proxy_removal
german_credit,FairLasso_lambda0.0,0.7155555555555555,0.708888888888889,-0.0066666666666664876,0.8403780664201559,0.6074637231503965,0.23291434326975935,0.5586596348077019,0.504950495049505,0.05370913975819691
german_credit,FairLasso_lambda0.5,0.7155555555555555,0.708888888888889,-0.0066666666666664876,0.8403780664201559,0.6074637231503965,0.23291434326975935,0.5586596348077019,0.504950495049505,0.05370913975819691
german_credit,FairLasso_lambda1.0,0.7155555555555555,0.708888888888889,-0.0066666666666664876,0.8403780664201559,0.6074637231503965,0.23291434326975935,0.5586596348077019,0.504950495049505,0.05370913975819691
german_credit,FairLasso_lambda2.0,0.721111111111111,0.708888888888889,-0.012222222222222023,0.8403780664201559,0.6074637231503965,0.23291434326975935,0.5586596348077019,0.504950495049505,0.05370913975819691
german_credit,FairCFS_lambda0.0,0.7266666666666666,0.7088888888888888,-0.01777777777777778,0.837861774746278,0.7549264930088224,0.08293528173745557,0.5363450917956117,0.4999253694213642,0.036419722374247565
german_credit,ProxyRank_lambda0.5,0.75,0.7255555555555556,-0.02444444444444438,0.8498939096610663,0.7749264930088202,0.07496741665224604,0.5071645355490323,0.5048758644708692,0.002288671078163107
german_credit,ProxyRank_lambda0.0,0.7422222222222222,0.7333333333333333,-0.008888888888888946,0.8882598263421588,0.8282598263421566,0.060000000000002274,0.5265933628538733,0.5048758644708692,0.021717498383004075
german_credit,FairmRMR_lambda0.0,0.7333333333333334,0.71,-0.023333333333333428,0.793711399753489,0.7428943580940324,0.05081704165945666,0.5762475745061943,0.5096770983631026,0.06657047614309175
german_credit,mRMR,0.7333333333333334,0.71,-0.023333333333333428,0.793711399753489,0.7428943580940324,0.05081704165945666,0.5762475745061943,0.5096770983631026,0.06657047614309175
german_credit,BasicFACMIM_lambda0.5,0.7622222222222222,0.7188888888888889,-0.043333333333333335,0.9015931596754889,0.8815931596754893,0.019999999999999574,0.49726354545002244,0.5047266033135976,-0.0074630578635752065
german_credit,BasicFACMIM_lambda0.0,0.741111111111111,0.7188888888888889,-0.022222222222222143,0.8882598263421588,0.8815931596754893,0.006666666666669485,0.5265933628538733,0.5047266033135976,0.021866759540275615
german_credit,CMIM,0.741111111111111,0.7188888888888889,-0.022222222222222143,0.8882598263421588,0.8815931596754893,0.006666666666669485,0.5265933628538733,0.5047266033135976,0.021866759540275615
german_credit,SubsetFACMIM_lambda0.0,0.741111111111111,0.7188888888888889,-0.022222222222222143,0.8882598263421588,0.8815931596754893,0.006666666666669485,0.5265933628538733,0.5047266033135976,0.021866759540275615
german_credit,BasicFACMIM_lambda1.0,0.75,0.7222222222222222,-0.02777777777777779,0.8632272429943981,0.8590768680016101,0.004150374992788031,0.49726354545002244,0.5047266033135976,-0.0074630578635752065
german_credit,SubsetFACMIM_lambda2.0,0.6788888888888889,0.6788888888888889,0.0,0.3712219717302876,0.3712219717302876,0.0,0.5122642917558088,0.5122642917558088,0.0
german_credit,BasicFACMIM_lambda2.0,0.7399999999999999,0.7144444444444445,-0.02555555555555533,0.7036462330579765,0.7052803163768857,-0.0016340833189092407,0.49741280660729387,0.5099009900990099,-0.012488183491716043
german_credit,FairmRMR_lambda2.0,0.7444444444444445,0.7155555555555555,-0.028888888888888964,0.7036462330579747,0.7052803163768848,-0.001634083318910129,0.49741280660729387,0.5099009900990099,-0.012488183491716043
german_credit,FairCFS_lambda2.0,0.741111111111111,0.7122222222222222,-0.028888888888888853,0.7036462330579756,0.7052803163768857,-0.001634083318910129,0.49741280660729387,0.5099009900990099,-0.012488183491716043
german_credit,ProxyRank_lambda2.0,0.741111111111111,0.7122222222222222,-0.028888888888888853,0.7036462330579747,0.7052803163768857,-0.001634083318911017,0.49741280660729387,0.5099009900990099,-0.012488183491716043
german_credit,SubsetFACMIM_lambda1.0,0.7022222222222222,0.7011111111111111,-0.0011111111111110628,0.41676326684857123,0.45300835074855517,-0.03624508389998393,0.5982635952037415,0.5097517289417384,0.08851186626200314
german_credit,FairmRMR_lambda1.0,0.7433333333333333,0.7111111111111111,-0.03222222222222215,0.7036462330579765,0.7549264930088206,-0.051280259950844176,0.49741280660729387,0.4999253694213642,-0.002512562814070307
german_credit,FairmRMR_lambda0.5,0.7388888888888889,0.7111111111111111,-0.02777777777777779,0.7036462330579747,0.7549264930088206,-0.05128025995084595,0.49741280660729387,0.4999253694213642,-0.002512562814070307
german_credit,FairCFS_lambda0.5,0.7344444444444443,0.7088888888888888,-0.025555555555555554,0.7036462330579747,0.7549264930088224,-0.05128025995084773,0.49741280660729387,0.4999253694213642,-0.002512562814070307
german_credit,FairCFS_lambda1.0,0.7377777777777778,0.7088888888888888,-0.028888888888888964,0.7036462330579738,0.7549264930088224,-0.05128025995084862,0.49741280660729387,0.4999253694213642,-0.002512562814070307
german_credit,SubsetFACMIM_lambda0.5,0.7366666666666667,0.7122222222222222,-0.02444444444444449,0.5248543772896959,0.5768631200451786,-0.05200874275548273,0.5,0.5099009900990099,-0.00990099009900991
german_credit,ProxyRank_lambda1.0,0.7422222222222222,0.7255555555555556,-0.016666666666666607,0.7036462330579747,0.7749264930088202,-0.07128025995084553,0.49741280660729387,0.5048758644708692,-0.0074630578635753175
