dataset,variant,removed_features,selector,lambda,model,k,selected_features,accuracy,balanced_accuracy,f1,auroc,joint_subset_mi_sensitive,sensitive_attacker_balanced_accuracy,dpd,dpr,equal_opportunity_difference,equalized_odds_difference
german_credit,original,[],FairCFS_lambda0.0,0.0,random_forest,8,"['checking_status', 'credit_history', 'duration', 'savings_status', 'employment', 'property_magnitude', 'other_payment_plans', 'foreign_worker']",0.7,0.6206349206349207,0.4578313253012048,0.7210317460317461,0.837861774746278,0.5363450917956117,0.08080003980297526,0.7367482574161128,0.03636363636363632,0.11174242424242423
german_credit,original,[],FairCFS_lambda0.0,0.0,gradient_boosting,8,"['checking_status', 'credit_history', 'duration', 'savings_status', 'employment', 'property_magnitude', 'other_payment_plans', 'foreign_worker']",0.72,0.6349206349206349,0.475,0.743915343915344,0.837861774746278,0.5363450917956117,0.036320214936066464,0.8589099342868187,0.03636363636363632,0.04292929292929293
german_credit,original,[],FairLasso_lambda0.0,0.0,logistic_regression,8,"['checking_status', 'foreign_worker', 'credit_history', 'purpose', 'employment', 'other_payment_plans', 'housing', 'savings_status']",0.7366666666666667,0.6309523809523809,0.45517241379310347,0.7516402116402116,0.8403780664201559,0.5586596348077019,0.0818448679038758,0.655569514237856,0.10129870129870128,0.10129870129870128
german_credit,original,[],FairLasso_lambda0.0,0.0,random_forest,8,"['checking_status', 'foreign_worker', 'credit_history', 'purpose', 'employment', 'other_payment_plans', 'housing', 'savings_status']",0.7033333333333334,0.6198412698412699,0.4539877300613497,0.7191798941798943,0.8403780664201559,0.5586596348077019,0.051097069505945586,0.8156855707106963,0.018181818181818132,0.05934343434343434
german_credit,original,[],FairLasso_lambda0.0,0.0,gradient_boosting,8,"['checking_status', 'foreign_worker', 'credit_history', 'purpose', 'employment', 'other_payment_plans', 'housing', 'savings_status']",0.7066666666666667,0.6031746031746033,0.41333333333333333,0.7354497354497355,0.8403780664201559,0.5586596348077019,0.08657147121747352,0.6637031310398144,0.04415584415584417,0.08585858585858586
german_credit,original,[],BasicFACMIM_lambda0.0,0.0,logistic_regression,8,"['checking_status', 'duration', 'credit_history', 'purpose', 'employment', 'property_magnitude', 'savings_status', 'other_payment_plans']",0.7633333333333333,0.6753968253968254,0.5359477124183006,0.7856613756613757,0.8882598263421588,0.5265933628538733,0.04164386287875019,0.824748743718593,0.0025974025974025983,0.02398989898989899
german_credit,original,[],BasicFACMIM_lambda0.0,0.0,random_forest,8,"['checking_status', 'duration', 'credit_history', 'purpose', 'employment', 'property_magnitude', 'savings_status', 'other_payment_plans']",0.72,0.6222222222222222,0.4473684210526316,0.7371164021164021,0.8882598263421588,0.5265933628538733,0.0765212199611921,0.7027444916892153,0.010389610389610393,0.09280303030303029
german_credit,original,[],BasicFACMIM_lambda0.0,0.0,gradient_boosting,8,"['checking_status', 'duration', 'credit_history', 'purpose', 'employment', 'property_magnitude', 'savings_status', 'other_payment_plans']",0.74,0.6523809523809524,0.5,0.7685714285714286,0.8882598263421588,0.5265933628538733,0.011642370267177488,0.9488748088267424,0.05454545454545451,0.05454545454545451
german_credit,original,[],SubsetFACMIM_lambda0.0,0.0,logistic_regression,8,"['checking_status', 'duration', 'credit_history', 'purpose', 'employment', 'property_magnitude', 'savings_status', 'other_payment_plans']",0.7633333333333333,0.6753968253968254,0.5359477124183006,0.7856613756613757,0.8882598263421588,0.5265933628538733,0.04164386287875019,0.824748743718593,0.0025974025974025983,0.02398989898989899
german_credit,original,[],SubsetFACMIM_lambda0.0,0.0,random_forest,8,"['checking_status', 'duration', 'credit_history', 'purpose', 'employment', 'property_magnitude', 'savings_status', 'other_payment_plans']",0.72,0.6222222222222222,0.4473684210526316,0.7371164021164021,0.8882598263421588,0.5265933628538733,0.0765212199611921,0.7027444916892153,0.010389610389610393,0.09280303030303029
german_credit,original,[],SubsetFACMIM_lambda0.0,0.0,gradient_boosting,8,"['checking_status', 'duration', 'credit_history', 'purpose', 'employment', 'property_magnitude', 'savings_status', 'other_payment_plans']",0.74,0.6523809523809524,0.5,0.7685714285714286,0.8882598263421588,0.5265933628538733,0.011642370267177488,0.9488748088267424,0.05454545454545451,0.05454545454545451
german_credit,original,[],ProxyRank_lambda0.5,0.5,logistic_regression,8,"['checking_status', 'credit_history', 'savings_status', 'duration', 'property_magnitude', 'other_payment_plans', 'purpose', 'foreign_worker']",0.7766666666666666,0.6785714285714286,0.5379310344827586,0.7934656084656084,0.8498939096610663,0.5071645355490323,0.022140404995273394,0.8881909547738693,0.007792207792207795,0.007792207792207795
german_credit,original,[],ProxyRank_lambda0.5,0.5,random_forest,8,"['checking_status', 'credit_history', 'savings_status', 'duration', 'property_magnitude', 'other_payment_plans', 'purpose', 'foreign_worker']",0.74,0.6492063492063492,0.4935064935064935,0.7305820105820107,0.8498939096610663,0.5071645355490323,0.021692621523458883,0.9047410967882893,0.03636363636363632,0.03636363636363632
german_credit,original,[],ProxyRank_lambda0.5,0.5,gradient_boosting,8,"['checking_status', 'credit_history', 'savings_status', 'duration', 'property_magnitude', 'other_payment_plans', 'purpose', 'foreign_worker']",0.7333333333333333,0.6603174603174603,0.5180722891566265,0.7534656084656084,0.8498939096610663,0.5071645355490323,0.06587392407582465,0.7782244556113903,0.03376623376623378,0.08017676767676768
german_credit,original,[],FairmRMR_lambda0.5,0.5,logistic_regression,8,"['checking_status', 'duration', 'other_payment_plans', 'savings_status', 'foreign_worker', 'credit_history', 'property_magnitude', 'other_parties']",0.75,0.6531746031746032,0.4966442953020134,0.7847089947089947,0.7036462330579747,0.4974128066072939,0.012886213244440031,0.9358910891089108,0.0649350649350649,0.0649350649350649
